Index	Sequence	PathDelay	LogicDelay	NetDelay	LUTsLogic	RegsFF	RegsLatch
30	&scorr;&sweep;;&syn2;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.845	9.031(66%)	4.814(34%)	2028	605	9
31	&scorr;&sweep;;&syn3;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	13.945	9.031(65%)	4.914(35%)	1980	605	9
32	&scorr;&sweep;;&syn3;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	13.672	10.037(74%)	3.635(26%)	2005	605	9
33	&scorr;&sweep;;&syn3;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.793	9.031(66%)	4.762(34%)	2017	605	9
34	&scorr;&sweep;;&syn4&b;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;						
35	&scorr;&sweep;;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	13.683	10.055(74%)	3.628(26%)	1975	605	9
36	&scorr;&sweep;;&syn4&b;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;						
37	&scorr;&sweep;;&syn4&b;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;						
38	&scorr;&sweep;;&b -d;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	13.682	10.055(74%)	3.627(26%)	1976	605	9
39	&scorr;&sweep;;&b -d;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	13.677	10.055(74%)	3.622(26%)	1969	605	9
40	&scorr;&sweep;;&b -d;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.922	8.575(62%)	5.347(38%)	1995	605	9
41	&scorr;&sweep;;&if -W 300 -x -K 6;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	14.294	9.172(65%)	5.122(35%)	1994	605	9
42	&scorr;&sweep;;&if -W 300 -x -K 6;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	14.254	9.048(64%)	5.206(36%)	1991	605	9
43	&scorr;&sweep;;&if -W 300 -x -K 6;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.323	9.172(65%)	5.151(35%)	1984	605	9
44	&scorr;&sweep;;&if -W 300 -g -K 6;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	13.945	9.031(65%)	4.914(35%)	1971	605	9
45	&scorr;&sweep;;&if -W 300 -g -K 6;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	14.317	9.172(65%)	5.145(35%)	1967	605	9
46	&scorr;&sweep;;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.686	10.055(74%)	3.631(26%)	1989	605	9
47	&scorr;&sweep;;&if -W 300 -g -K 6;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.336	9.172(64%)	5.164(36%)	1992	605	9
48	&scorr;&sweep;;&if -W 300 -y -K 6;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	13.682	10.055(74%)	3.627(26%)	1976	605	9
49	&scorr;&sweep;;&if -W 300 -y -K 6;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	13.683	10.055(74%)	3.628(26%)	1975	605	9
50	&scorr;&sweep;;&if -W 300 -y -K 6;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.686	10.055(74%)	3.631(26%)	1989	605	9
51	&scorr;&sweep;;&dc2;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.834	9.031(66%)	4.803(34%)	2011	605	9
52	&scorr;&sweep;;&dc2;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	13.845	9.031(66%)	4.814(34%)	2035	605	9
53	&scorr;&sweep;;&dc2;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.874	9.031(66%)	4.843(34%)	2043	605	9
54	&scorr;&sweep;;&syn2;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.664	10.037(74%)	3.627(26%)	1994	605	9
55	&scorr;&sweep;;&syn2;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.303	9.172(65%)	5.131(35%)	1986	605	9
56	&scorr;&sweep;;&syn2;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.296	9.172(65%)	5.124(35%)	1991	605	9
57	&scorr;&sweep;;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.611	8.699(64%)	4.912(36%)	1995	605	9
58	&scorr;&sweep;;&syn3;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	14.333	9.172(64%)	5.161(36%)	1987	605	9
59	&scorr;&sweep;;&syn3;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.293	9.172(65%)	5.121(35%)	1971	605	9
60	&scorr;&sweep;;&syn3;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.288	9.172(65%)	5.116(35%)	1985	605	9
61	&scorr;&sweep;;&syn4&b;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;						
62	&scorr;&sweep;;&syn4&b;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;						
63	&scorr;&sweep;;&syn4&b;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;						
64	&scorr;&sweep;;&b -d;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	14.255	9.172(65%)	5.083(35%)	1994	605	9
65	&scorr;&sweep;;&b -d;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.292	9.172(65%)	5.120(35%)	2005	605	9
66	&scorr;&sweep;;&b -d;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.333	9.172(64%)	5.161(36%)	1997	605	9
67	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.674	10.055(74%)	3.619(26%)	1982	605	9
68	&scorr;&sweep;;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.326	9.172(65%)	5.154(35%)	1990	605	9
69	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.300	9.172(65%)	5.128(35%)	2006	605	9
70	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.308	9.172(65%)	5.136(35%)	1994	605	9
71	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.684	10.055(74%)	3.629(26%)	1968	605	9
72	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	13.853	9.031(66%)	4.822(34%)	1988	605	9
73	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.849	9.031(66%)	4.818(34%)	1981	605	9
74	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.611	8.699(64%)	4.912(36%)	1995	605	9
75	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.326	9.172(65%)	5.154(35%)	1990	605	9
76	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.322	9.172(65%)	5.150(35%)	1999	605	9
77	&scorr;&sweep;;&dc2;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.864	9.031(66%)	4.833(34%)	2000	605	9
78	&scorr;&sweep;;&dc2;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	13.820	9.031(66%)	4.789(34%)	1990	605	9
79	&scorr;&sweep;;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.322	9.172(65%)	5.150(35%)	1999	605	9
80	&scorr;&sweep;;&dc2;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.329	9.031(64%)	5.298(36%)	2011	605	9
81	&scorr;&sweep;;&syn2;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	14.166	8.575(61%)	5.591(39%)	1992	605	9
82	&scorr;&sweep;;&syn2;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.006	8.575(62%)	5.431(38%)	2028	605	9
83	&scorr;&sweep;;&syn2;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.302	9.172(65%)	5.130(35%)	2032	605	9
84	&scorr;&sweep;;&syn3;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.675	10.055(74%)	3.620(26%)	1973	605	9
85	&scorr;&sweep;;&syn3;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.356	8.924(63%)	5.432(37%)	2000	605	9
86	&scorr;&sweep;;&syn3;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.324	9.172(65%)	5.152(35%)	1999	605	9
87	&scorr;&sweep;;&syn4&b;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;						
88	&scorr;&sweep;;&syn4&b;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;						
89	&scorr;&sweep;;&syn4&b;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;						
90	&scorr;&sweep;;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.824	9.031(66%)	4.793(34%)	1981	605	9
91	&scorr;&sweep;;&b -d;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.941	8.823(64%)	5.118(36%)	1972	605	9
92	&scorr;&sweep;;&b -d;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	13.776	9.031(66%)	4.745(34%)	1996	605	9
93	&scorr;&sweep;;&b -d;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.857	9.031(66%)	4.826(34%)	1991	605	9
94	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.663	10.037(74%)	3.626(26%)	1989	605	9
95	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.341	9.172(64%)	5.169(36%)	2001	605	9
96	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.307	9.172(65%)	5.135(35%)	1998	605	9
97	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.923	9.031(65%)	4.892(35%)	1995	605	9
98	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	13.802	9.031(66%)	4.771(34%)	1987	605	9
99	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.873	9.031(66%)	4.842(34%)	1982	605	9
100	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.824	9.031(66%)	4.793(34%)	1981	605	9
101	&scorr;&sweep;;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.715	9.172(63%)	5.543(37%)	1986	605	9
102	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.715	9.172(63%)	5.543(37%)	1986	605	9
103	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.250	9.031(64%)	5.219(36%)	1994	605	9
104	&scorr;&sweep;;&dc2;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.865	9.031(66%)	4.834(34%)	2002	605	9
105	&scorr;&sweep;;&dc2;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.345	9.172(64%)	5.173(36%)	1999	605	9
106	&scorr;&sweep;;&dc2;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.799	9.172(62%)	5.627(38%)	2014	605	9
107	&scorr;&sweep;;&syn2;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	1986	605	9
108	&scorr;&sweep;;&syn2;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	13.883	9.031(66%)	4.852(34%)	2016	605	9
109	&scorr;&sweep;;&syn2;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.116	8.575(61%)	5.541(39%)	2024	605	9
110	&scorr;&sweep;;&syn3;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.675	10.055(74%)	3.620(26%)	1972	605	9
111	&scorr;&sweep;;&syn3;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	13.882	9.031(66%)	4.851(34%)	2002	605	9
112	&scorr;&sweep;;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.799	9.172(62%)	5.627(38%)	2014	605	9
113	&scorr;&sweep;;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.250	9.031(64%)	5.219(36%)	1994	605	9
114	&scorr;&sweep;;&syn3;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.943	9.031(65%)	4.912(35%)	2025	605	9
115	&scorr;&sweep;;&syn4&b;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;						
116	&scorr;&sweep;;&syn4&b;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;						
117	&scorr;&sweep;;&syn4&b;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;						
118	&scorr;&sweep;;&b -d;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.682	10.055(74%)	3.627(26%)	1976	605	9
119	&scorr;&sweep;;&b -d;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	13.683	10.055(74%)	3.628(26%)	1975	605	9
120	&scorr;&sweep;;&b -d;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.686	10.055(74%)	3.631(26%)	1989	605	9
121	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.611	8.699(64%)	4.912(36%)	1995	605	9
122	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.326	9.172(65%)	5.154(35%)	1990	605	9
123	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.322	9.172(65%)	5.150(35%)	1999	605	9
124	&scorr;&sweep;;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.939	8.823(64%)	5.116(36%)	1978	605	9
125	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.824	9.031(66%)	4.793(34%)	1981	605	9
126	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.715	9.172(63%)	5.543(37%)	1986	605	9
127	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.250	9.031(64%)	5.219(36%)	1994	605	9
128	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	13.939	8.823(64%)	5.116(36%)	1978	605	9
129	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.242	9.172(65%)	5.070(35%)	1954	605	9
130	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.257	9.172(65%)	5.085(35%)	1985	605	9
131	&scorr;&sweep;;&dc2;&dc2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.875	9.031(66%)	4.844(34%)	2011	605	9
132	&scorr;&sweep;;&dc2;&dc2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.817	9.031(66%)	4.786(34%)	2029	605	9
133	&scorr;&sweep;;&dc2;&dc2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.330	9.031(64%)	5.299(36%)	2025	605	9
134	&scorr;&sweep;;&syn2;&dc2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.288	9.172(65%)	5.116(35%)	1999	605	9
135	&scorr;&sweep;;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	14.242	9.172(65%)	5.070(35%)	1954	605	9
136	&scorr;&sweep;;&syn2;&dc2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.306	9.172(65%)	5.134(35%)	2061	605	9
137	&scorr;&sweep;;&syn2;&dc2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.301	9.172(65%)	5.129(35%)	2081	605	9
138	&scorr;&sweep;;&syn3;&dc2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.319	9.172(65%)	5.147(35%)	2030	605	9
139	&scorr;&sweep;;&syn3;&dc2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.304	9.172(65%)	5.132(35%)	2037	605	9
140	&scorr;&sweep;;&syn3;&dc2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.876	9.031(66%)	4.845(34%)	2054	605	9
141	&scorr;&sweep;;&syn4&b;&dc2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
142	&scorr;&sweep;;&syn4&b;&dc2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
143	&scorr;&sweep;;&syn4&b;&dc2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
144	&scorr;&sweep;;&b -d;&dc2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.950	9.031(65%)	4.919(35%)	2025	605	9
145	&scorr;&sweep;;&b -d;&dc2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.333	9.172(64%)	5.161(36%)	2067	605	9
146	&scorr;&sweep;;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.257	9.172(65%)	5.085(35%)	1985	605	9
147	&scorr;&sweep;;&b -d;&dc2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.325	9.172(65%)	5.153(35%)	2047	605	9
148	&scorr;&sweep;;&if -W 300 -x -K 6;&dc2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.887	9.031(66%)	4.856(34%)	2014	605	9
149	&scorr;&sweep;;&if -W 300 -x -K 6;&dc2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.314	9.172(65%)	5.142(35%)	1996	605	9
150	&scorr;&sweep;;&if -W 300 -x -K 6;&dc2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.318	9.172(65%)	5.146(35%)	2028	605	9
151	&scorr;&sweep;;&if -W 300 -g -K 6;&dc2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.943	9.031(65%)	4.912(35%)	2008	605	9
152	&scorr;&sweep;;&if -W 300 -g -K 6;&dc2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.824	8.907(65%)	4.917(35%)	2011	605	9
153	&scorr;&sweep;;&if -W 300 -g -K 6;&dc2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.893	9.031(66%)	4.862(34%)	2029	605	9
154	&scorr;&sweep;;&if -W 300 -y -K 6;&dc2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.873	9.031(66%)	4.842(34%)	2006	605	9
155	&scorr;&sweep;;&if -W 300 -y -K 6;&dc2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.795	9.031(66%)	4.764(34%)	2027	605	9
156	&scorr;&sweep;;&if -W 300 -y -K 6;&dc2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.329	9.031(64%)	5.298(36%)	2031	605	9
157	&scorr;&sweep;;&dc2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.873	9.031(66%)	4.842(34%)	2006	605	9
158	&scorr;&sweep;;&dc2;&syn2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	2013	605	9
159	&scorr;&sweep;;&dc2;&syn2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.682	10.055(74%)	3.627(26%)	2083	605	9
160	&scorr;&sweep;;&dc2;&syn2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.682	10.055(74%)	3.627(26%)	2117	605	9
161	&scorr;&sweep;;&syn2;&syn2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.663	10.037(74%)	3.626(26%)	2029	605	9
162	&scorr;&sweep;;&syn2;&syn2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.601	8.681(64%)	4.920(36%)	2051	605	9
163	&scorr;&sweep;;&syn2;&syn2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.602	8.681(64%)	4.921(36%)	2080	605	9
164	&scorr;&sweep;;&syn3;&syn2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.662	10.037(74%)	3.625(26%)	1978	605	9
165	&scorr;&sweep;;&syn3;&syn2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	2005	605	9
166	&scorr;&sweep;;&syn3;&syn2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.670	10.037(74%)	3.633(26%)	2020	605	9
167	&scorr;&sweep;;&syn4&b;&syn2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
168	&scorr;&sweep;;&dc2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.795	9.031(66%)	4.764(34%)	2027	605	9
169	&scorr;&sweep;;&syn4&b;&syn2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
170	&scorr;&sweep;;&syn4&b;&syn2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
171	&scorr;&sweep;;&b -d;&syn2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.672	10.037(74%)	3.635(26%)	2026	605	9
172	&scorr;&sweep;;&b -d;&syn2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.996	8.557(62%)	5.439(38%)	2084	605	9
173	&scorr;&sweep;;&b -d;&syn2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.811	8.889(65%)	4.922(35%)	2058	605	9
174	&scorr;&sweep;;&if -W 300 -x -K 6;&syn2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.664	10.037(74%)	3.627(26%)	2027	605	9
175	&scorr;&sweep;;&if -W 300 -x -K 6;&syn2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.664	10.037(74%)	3.627(26%)	2007	605	9
176	&scorr;&sweep;;&if -W 300 -x -K 6;&syn2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.664	10.037(74%)	3.627(26%)	2038	605	9
